"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Chris Sale","Red Sox","9","3","0","15","15","107.1","12.24","1.59","0.67",".290","70.6 %","38.6 %","8.2 %","2.85","1.97","2.63","4.6","10603"
"Max Scherzer","Nationals","8","5","0","15","15","107.2","12.12","2.01","1.00",".230","81.8 %","38.7 %","11.3 %","2.09","2.78","3.11","3.5","3137"
"Chris Archer","Rays","6","4","0","16","16","104.1","10.87","2.85","0.78",".322","70.5 %","42.5 %","9.3 %","3.97","2.88","3.43","3.0","6345"
"Michael Fulmer","Tigers","6","6","0","14","14","93.0","6.87","2.32","0.39",".287","71.4 %","50.0 %","4.9 %","3.29","3.07","4.10","2.6","13218"
"Zack Greinke","Diamondbacks","8","4","0","15","15","97.1","10.26","1.76","1.29",".284","75.2 %","47.2 %","15.6 %","3.14","3.31","3.11","2.5","1943"
"Carlos Martinez","Cardinals","6","6","0","15","15","100.1","9.96","3.14","0.90",".256","76.8 %","50.8 %","12.3 %","2.87","3.33","3.49","2.5","11682"
"Stephen Strasburg","Nationals","8","2","0","15","15","95.2","10.25","2.54","0.94",".287","74.5 %","45.1 %","11.6 %","3.57","3.19","3.45","2.4","10131"
"Jimmy Nelson","Brewers","5","4","0","15","15","90.0","9.30","2.40","0.80",".341","75.8 %","50.0 %","11.0 %","3.50","3.19","3.50","2.4","10547"
"Jason Vargas","Royals","10","3","0","14","14","87.1","7.01","2.06","0.62",".286","84.2 %","36.0 %","5.3 %","2.27","3.23","4.69","2.3","8044"
"Chase Anderson","Brewers","6","2","0","15","15","89.1","8.46","2.72","0.81",".274","78.7 %","38.4 %","7.9 %","2.92","3.46","4.34","2.3","6895"
"Clayton Kershaw","Dodgers","10","2","0","15","15","103.1","10.02","1.48","1.48",".248","88.6 %","46.2 %","19.1 %","2.61","3.54","2.96","2.2","2036"
"Luis Severino","Yankees","5","3","0","14","14","87.1","9.79","2.47","1.03",".275","75.9 %","56.1 %","15.6 %","3.30","3.34","3.18","2.2","15890"
"Robbie Ray","Diamondbacks","7","3","0","14","14","87.2","11.70","4.00","1.03",".267","83.0 %","39.0 %","12.5 %","2.87","3.42","3.58","2.1","11486"
"Lance McCullers","Astros","6","1","0","13","13","76.2","10.45","2.70","0.70",".277","78.6 %","63.0 %","17.1 %","2.58","2.93","2.73","2.1","14120"
"Carlos Carrasco","Indians","8","3","0","14","14","87.1","9.17","2.27","0.93",".269","79.9 %","45.9 %","12.5 %","2.99","3.37","3.51","2.0","6632"
"Jeff Samardzija","Giants","2","9","0","15","15","98.2","10.22","1.19","1.46",".327","65.9 %","41.5 %","18.0 %","4.74","3.49","3.01","1.9","3254"
"Dallas Keuchel","Astros","9","0","0","11","11","75.2","8.21","2.14","0.71",".222","88.7 %","67.4 %","17.1 %","1.67","3.10","2.90","1.9","9434"
"Ivan Nova","Pirates","7","5","0","15","15","103.0","5.16","0.96","0.96",".274","78.1 %","49.2 %","12.0 %","3.06","3.79","4.01","1.8","1994"
"Yu Darvish","Rangers","6","5","0","16","16","101.0","9.71","3.21","1.16",".243","82.3 %","41.3 %","14.3 %","3.12","3.87","3.82","1.8","13074"
"Jon Lester","Cubs","4","4","0","15","15","89.1","9.37","2.92","1.11",".315","73.6 %","47.3 %","13.6 %","3.83","3.66","3.70","1.7","4930"
"Mike Leake","Cardinals","5","6","0","14","14","92.0","6.46","1.76","0.88",".263","78.3 %","55.2 %","13.4 %","3.03","3.66","3.70","1.7","10130"
"Dan Straily","Marlins","5","4","0","15","15","84.0","9.21","2.89","1.07",".259","75.6 %","38.1 %","10.2 %","3.43","3.74","4.30","1.7","9460"
"Rick Porcello","Red Sox","4","9","0","16","16","99.0","8.45","1.73","1.45",".371","67.1 %","37.0 %","11.9 %","5.00","3.97","4.30","1.7","2717"
"Jacob deGrom","Mets","6","3","0","14","14","89.0","10.72","3.64","1.31",".312","78.4 %","46.1 %","17.3 %","3.94","3.90","3.52","1.6","10954"
"Jose Quintana","White Sox","4","8","0","15","15","88.1","8.97","3.26","1.22",".304","70.5 %","41.9 %","12.9 %","4.69","4.07","4.20","1.6","11423"
"Marco Estrada","Blue Jays","4","5","0","15","15","85.0","10.16","2.54","1.48",".343","72.4 %","34.6 %","13.0 %","4.98","3.90","4.05","1.6","1118"
"Jordan Montgomery","Yankees","5","4","0","13","13","74.2","8.56","3.13","1.08",".282","72.5 %","41.0 %","10.1 %","3.74","3.89","4.47","1.4","16511"
"Sean Manaea","Athletics","6","4","0","13","13","73.1","9.94","3.44","0.86",".268","66.9 %","47.3 %","10.9 %","4.05","3.52","3.85","1.4","15873"
"Clayton Richard","Padres","5","7","0","15","15","94.1","6.39","2.39","0.95",".336","73.8 %","58.0 %","17.5 %","4.20","3.98","3.70","1.4","3551"
"Michael Pineda","Yankees","7","3","0","14","14","83.1","9.07","2.05","1.51",".293","75.2 %","51.9 %","19.7 %","3.56","4.06","3.41","1.4","5372"
"Jake Arrieta","Cubs","7","5","0","15","15","84.2","9.46","2.66","1.38",".311","67.9 %","44.0 %","16.5 %","4.36","4.09","3.78","1.3","4153"
"Justin Verlander","Tigers","4","4","0","15","15","87.2","8.83","4.41","1.03",".303","72.2 %","34.0 %","8.9 %","4.52","4.20","5.02","1.3","8700"
"Drew Pomeranz","Red Sox","6","4","0","14","14","73.0","10.11","3.08","1.36",".327","75.7 %","42.4 %","15.5 %","4.07","3.88","3.67","1.3","11426"
"Scott Feldman","Reds","5","5","0","15","15","83.2","7.31","3.01","1.08",".305","72.8 %","44.1 %","15.2 %","4.20","4.28","4.15","1.3","6283"
"Daniel Norris","Tigers","4","5","0","14","14","77.1","8.61","3.96","0.93",".349","71.2 %","39.9 %","8.9 %","4.66","4.00","4.76","1.3","13475"
"Gio Gonzalez","Nationals","7","1","0","15","15","94.1","8.30","3.82","1.14",".268","84.5 %","43.7 %","13.0 %","2.96","4.28","4.39","1.3","7448"
