trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",25,0,-206.25946578375027,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",25,0,-114.58362342246402,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",35,0,-147.68335528170385,"{0: 24, 1: 0, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",20,0,-257.6239509516207,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 5}",0
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-105.502874814277,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",30,0,-216.67958635144967,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",30,2,-86.07615916124563,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",25,0,-134.6034059930161,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",25,0,-117.86377318182417,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",30,0,-66.41715020147714,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",25,0,-82.97637629856095,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",25,0,-115.06288857525517,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",30,14,-43.95863259399295,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",30,0,-159.3453751768422,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",20,0,-15.468947611435134,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",30,21,4.376068936939841,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",30,20,8.751249933196373,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",20,3,0.26253457875919795,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",25,7,27.197893574478197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0}",25,5,16.8201060635137,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,23.400024207188984,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-11.408267510702936,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,28.599742264100318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,27.803595278982357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-105.85508522511415,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-8.258028257368641,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,3,26.404454274844063,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,26.770667147257832,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-35.110732337681256,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-54.85981635929688,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
