trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9996}",30,0,-150.69943039287674,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9992000000000001}",25,0,-170.98426693329628,"{0: 12, 1: 0, 2: 9, 3: 3, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9988000000000001}",30,0,-89.07277574794092,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9984000000000002}",25,0,-90.72897550127679,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9980000000000002}",20,0,-140.1765921676753,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9976000000000003}",20,0,-132.39019005074687,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9972000000000003}",30,0,-124.84758539434306,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9968000000000004}",30,0,-156.77436408441116,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9964000000000004}",25,0,-124.73157668493056,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9960000000000004}",20,0,-61.02650647197745,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.9956000000000005}",20,0,-122.21317476471823,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.9952000000000005}",25,0,-110.29681605607709,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9948000000000006}",30,0,-52.35839446551515,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
