trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",20,0,-174.32169392351912,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.998}",25,0,-196.06641863170867,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.997}",20,0,-46.91461274995983,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.996}",25,3,-71.13684527918758,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.1, 'e': 0.995}",30,0,-181.73425864366197,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.994}",20,0,-62.999309678728935,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.993}",35,0,-234.86971263726522,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.992}",20,0,-97.41037836591715,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.991}",20,0,-147.71024003211303,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.99}",20,0,-27.196058761851653,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.989}",25,0,-140.13567407597245,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.988}",30,0,-204.7294847097535,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.987}",25,0,-95.57792173634219,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.986}",25,0,-166.8363594333219,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.985}",20,0,-135.75984670449228,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.1, 'e': 0.984}",20,0,-79.2071503621918,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.983}",30,0,-140.62404995217005,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.982}",25,0,-127.73662041106915,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.981}",20,0,-78.72386713261272,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.98}",20,0,-68.06902592511976,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-138.1191785396185,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-86.9826277393806,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-126.36299734467579,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-163.47692077633087,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-50.757192953380894,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-82.77116046136773,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,3,-72.90542154455302,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-71.12990329893113,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,4,-23.189200837299925,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-74.5556886581841,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
