trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.99}",20,0,-98.06051081536587,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.98}",20,0,-71.43599605843146,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.97}",25,0,-218.73813880318824,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.96}",20,0,-53.540129444471184,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.95}",20,8,-24.963866522469914,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.94}",20,0,-66.48012306392258,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-109.61150375313966,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9199999999999999}",30,0,-209.28960490745743,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.9099999999999999}",25,0,-71.13710246162938,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.8999999999999999}",30,0,-261.3595977898361,"{0: 13, 1: 3, 2: 10, 3: 0, 4: 4}",0
11,False,"{'a': 0.1, 'e': 0.8899999999999999}",30,0,-191.0349193857948,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-36.451660207179955,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.8699999999999999}",25,0,-104.91961449574809,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8599999999999999}",20,0,-73.63971070359008,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.8499999999999999}",30,0,-172.52101705971586,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.8399999999999999}",30,0,-54.32348677516893,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.8299999999999998}",20,14,-30.207727277017373,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.8199999999999998}",25,0,-73.71860555870454,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8099999999999998}",20,0,-113.64355452025028,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-58.35721267809788,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.7899999999999998}",25,0,-249.91222401407748,"{0: 13, 1: 1, 2: 4, 3: 3, 4: 4}",0
22,False,"{'a': 0.1, 'e': 0.7799999999999998}",35,0,-259.7377383945011,"{0: 19, 1: 2, 2: 8, 3: 2, 4: 4}",0
23,False,"{'a': 0.1, 'e': 0.7699999999999998}",20,0,-158.4668813171632,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.7599999999999998}",30,0,-112.78009993128842,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.7499999999999998}",20,0,-64.16662121926583,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.7399999999999998}",25,5,-105.59965559917372,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
27,False,"{'a': 0.1, 'e': 0.7299999999999998}",20,0,-145.5856878565407,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
28,False,"{'a': 0.1, 'e': 0.7199999999999998}",20,3,-8.859992383844196,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.7099999999999997}",30,0,-146.87351117935518,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,0,-74.87134023795714,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
31,False,"{'a': 0.1, 'e': 0.6899999999999997}",20,0,-123.30879475519002,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.6799999999999997}",20,0,-11.781172833138264,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.6699999999999997}",20,0,-49.926801342938454,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.6599999999999997}",25,0,-132.36972366564137,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.6499999999999997}",20,1,-94.7241361441,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 1}",1
36,False,"{'a': 0.1, 'e': 0.6399999999999997}",20,0,-14.801082572689301,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.6299999999999997}",20,0,-39.315308025031214,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.6199999999999997}",25,0,-64.0286391225009,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.6099999999999997}",25,0,-80.78207762387211,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
40,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,2,-32.84916534914351,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.1, 'e': 0.5899999999999996}",35,0,-200.96234577297906,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
42,False,"{'a': 0.1, 'e': 0.5799999999999996}",35,3,-102.21562306250205,"{0: 22, 1: 2, 2: 6, 3: 1, 4: 1}",1
43,False,"{'a': 0.1, 'e': 0.5699999999999996}",25,0,-57.78461882217108,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.5599999999999996}",30,0,-108.68271128247571,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,-88.60794477907808,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.5399999999999996}",25,0,-96.26589418104474,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.5299999999999996}",20,0,-133.7986279633932,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
48,False,"{'a': 0.1, 'e': 0.5199999999999996}",30,0,-98.34671821865687,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.5099999999999996}",25,0,-33.45617516911901,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.49999999999999956}",20,0,-32.142387182599066,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.48999999999999955}",20,0,-34.802720916021684,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
