trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9995}",25,0,-126.37465570131286,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9990000000000001}",20,0,-72.49145593161956,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9985000000000002}",30,0,-129.7990412497249,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9980000000000002}",25,0,-174.24654409023017,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9975000000000003}",20,0,-92.83219656576922,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9970000000000003}",25,0,-151.6013810110603,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9965000000000004}",25,0,-161.68486084317863,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9960000000000004}",25,0,-134.32097166437524,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9955000000000005}",25,0,-135.783913763564,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9950000000000006}",30,0,-163.64553916606755,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.9945000000000006}",30,0,-25.858170546056797,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.9940000000000007}",25,0,-184.6982991997378,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9935000000000007}",25,0,-143.90078836055196,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9930000000000008}",25,0,-132.39400112117247,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.9925000000000008}",20,0,-119.44709046378766,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.9920000000000009}",25,13,-0.5075676487815644,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.9915000000000009}",25,0,-74.23522894077746,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.991000000000001}",20,0,-115.95609439172588,"{0: 9, 1: 6, 2: 1, 3: 4, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.990500000000001}",35,0,-191.52252662632176,"{0: 19, 1: 6, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.9900000000000011}",20,0,-84.84332585217771,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.9895000000000012}",30,1,-41.70474084971004,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.9890000000000012}",35,0,-221.85904375769454,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.9885000000000013}",30,0,-113.5078619104478,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.9880000000000013}",20,0,-123.57100947002327,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.9875000000000014}",25,0,-165.78915104739957,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.9870000000000014}",20,0,-225.52904157674067,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 5}",0
27,False,"{'a': 0.1, 'e': 0.9865000000000015}",30,0,-143.2129040775675,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.9860000000000015}",35,0,-203.47984611578812,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.9855000000000016}",20,0,-168.90439186250853,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
30,False,"{'a': 0.1, 'e': 0.9850000000000017}",25,0,-77.38855502978528,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.9845000000000017}",25,6,2.789570423701437,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.9840000000000018}",20,0,-84.92121308325801,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.9835000000000018}",20,0,-67.24199045067634,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.9830000000000019}",25,0,-230.63170493094185,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
35,False,"{'a': 0.1, 'e': 0.9825000000000019}",20,0,-116.91893868716666,"{0: 6, 1: 5, 2: 8, 3: 1, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.982000000000002}",25,0,-47.403205445565774,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.981500000000002}",20,0,-99.82739392635628,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
